shop,shop_url,website,category,est_annual_sales_k,years_active,ratio_per_year
Creat3DLab,https://www.etsy.com/shop/Creat3DLab,,monitor adaptors,24.1,4.0,6025
HaBins,https://www.etsy.com/shop/HaBins,,ikea replacement parts,1.3,0.2,6500
NewSwedishDesign,https://www.etsy.com/shop/NewSwedishDesign,,home goods and bookshelf related,89.7,13.0,6900
NoTimeLikeTheGift,https://www.etsy.com/shop/NoTimeLikeTheGift,,,53.0,6.0,8833
CleverContraptions,https://www.etsy.com/shop/CleverContraptions,,,58.6,5.0,11720
Lulicutter,https://www.etsy.com/shop/Lulicutter,,cutters for clay,11.0,0.8,13750
WallTune,https://www.etsy.com/shop/WallTune,,acoustic panel hooks and organisers,35.0,2.5,14000
RoseauxClayCo,https://www.etsy.com/shop/RoseauxClayCo,,cutters,74.8,5.0,14960
BabylonCutters,https://www.etsy.com/shop/BabylonCutters,,cookie cutters,94.6,4.0,23650
UltimateDisplay,https://www.etsy.com/shop/UltimateDisplay,,lego mounts,9.3,5.0,1860
UA3D,https://www.etsy.com/shop/UA3D,,cosplay props,5.3,6.0,883
3DudesandDad,https://www.etsy.com/shop/3DudesandDad,,lego mounts,1.5,1.0,1500
Chucks3DWorkshop,https://www.etsy.com/shop/Chucks3DWorkshop,,trays and various,0.5,0.7,714
PixelPagesNZ,https://www.etsy.com/shop/PixelPagesNZ,,painting trays,1.3,0.8,1625
TheMakersMaker,https://www.etsy.com/shop/TheMakersMaker,,cups and organisers,3.4,2.5,1360
SenacLLC,https://www.etsy.com/shop/SenacLLC,,organisers and pegboard mounts,5.6,5.0,1120
WannapigCrafts,https://www.etsy.com/shop/WannapigCrafts,,skadis & organizers,4.9,4.0,1225
TheFelizCo,https://www.etsy.com/shop/TheFelizCo,,cute small charms,10.2,2.5,4080
MadebyStack3d,https://www.etsy.com/shop/MadebyStack3d,,pen displays,1.1,3.0,366
BeTiStCrafting,https://www.etsy.com/shop/BeTiStCrafting,,adaptors for ikea for baby,10.9,3.0,3633
PrintyNPainty,https://www.etsy.com/shop/PrintyNPainty,,paint storage and warhammer bases,2.4,2.5,960
BurtonDesignWorks,https://www.etsy.com/shop/BurtonDesignWorks,,dnd and painting,7.1,4.0,1775
SYNERGY3DAu,https://www.etsy.com/shop/SYNERGY3DAu,,skadis holders,0.8,2.5,320
PixieCube,https://www.etsy.com/shop/PixieCube,,skadis & cure & home,2.0,1.5,1333
TheAmazingDonat,https://www.etsy.com/shop/TheAmazingDonat,,mounts & home,8.4,4.0,2100
FusedLine,https://www.etsy.com/shop/FusedLine,,"coffee related, lots of non printed",33.9,5.0,6780
PapelEspresso,https://www.etsy.com/shop/PapelEspresso,,coffee related,8.4,2.5,3360
3DPrintedByBrian,https://www.etsy.com/shop/3DPrintedByBrian,,random,37.2,8.0,4650
TimPrintDreams,https://www.etsy.com/shop/TimPrintDreams,,dragons,1.8,1.0,1800
lunaluminance,https://www.etsy.com/shop/lunaluminance,,lamps,2.6,1.5,1733
myJeepDuck,https://www.etsy.com/shop/myJeepDuck,,omg ducks!,5.9,1.0,5900
