shop,shop_url,website,category
BlueSkyShopUA,https://www.etsy.com/shop/BlueSkyShopUA,,cookie cutters and clay molders
TealCatCreative,https://www.etsy.com/shop/TealCatCreative,,for kids
RazomUK,https://www.etsy.com/shop/RazomUK,,
MaltipooMania,https://www.etsy.com/shop/MaltipooMania,,toy deco
Intrinsic3D,https://www.etsy.com/shop/Intrinsic3D,,fidgets and magnets
StageTop,https://www.etsy.com/shop/StageTop,,
st3ndstore,https://www.etsy.com/shop/st3ndstore,,various stands
TECTLE,https://www.etsy.com/shop/TECTLE,,planters
PottrUK,https://www.etsy.com/shop/PottrUK,,tools for ceramics
JohnFranklinArt,https://www.etsy.com/shop/JohnFranklinArt,,mounts and tools
PoconoPrinting,https://www.etsy.com/shop/PoconoPrinting,,deco
Express3DCustoms,https://www.etsy.com/shop/Express3DCustoms,,lego wall mounts and other
HobbyPilled,https://www.etsy.com/shop/HobbyPilled,,skadis and plant related
JASFDesign,https://www.etsy.com/shop/JASFDesign,,wal mounts for lego
RedFive3D,https://www.etsy.com/shop/RedFive3D,,sci fi props and supports
EternaDecor,https://www.etsy.com/shop/EternaDecor,,deco
ByLastLight,https://www.etsy.com/shop/ByLastLight,,helmet mounts and lamps
PrintingSmarter,https://www.etsy.com/shop/PrintingSmarter,,ikea
MBConception,https://www.etsy.com/shop/MBConception,,
CentrionStudio,https://www.etsy.com/shop/CentrionStudio,,tabletop in fdm
Hox3D,https://www.etsy.com/shop/Hox3D,,wall mounts for lego
HoneycrispLabs,https://www.etsy.com/shop/HoneycrispLabs,,light switches
RelyefPotteryTools,https://www.etsy.com/shop/RelyefPotteryTools,,tools for ceramics
VIZKODesign,https://www.etsy.com/shop/VIZKODesign,,supports
PrinenShop,https://www.etsy.com/shop/PrinenShop,,deco
Trella3DPrints,https://www.etsy.com/shop/Trella3DPrints,,desk mounts
lousbrews,https://www.etsy.com/shop/lousbrews,,tool holders
TechnicallyBuilt,https://www.etsy.com/shop/TechnicallyBuilt,,wall mounts for lego
PDCustomsUK,https://www.etsy.com/shop/PDCustomsUK,,
OverlandEngineering,https://www.etsy.com/shop/OverlandEngineering,,car
my3dbase,https://www.etsy.com/shop/my3dbase,,
VibratoVault,https://www.etsy.com/shop/VibratoVault,,audio related
Houseofdavinci,https://www.etsy.com/shop/Houseofdavinci,,
WeBe3DPrinting,https://www.etsy.com/shop/WeBe3DPrinting,,toys and deco random
ChickaDoodlez,https://www.etsy.com/shop/ChickaDoodlez,,vial holders
RosebudHomeGoods,https://www.etsy.com/shop/RosebudHomeGoods,,
